Provider_ID,Name,Type,Address,City,Contact,Food_ID,Food_Name,Quantity,Expiry_Date,Provider_Type,Location,Food_Type,Meal_Type
1,Gonzales-Cochran,Supermarket,"74347 Christopher Extensions
Andreamouth, OK 91839",New Jessica,+1-600-220-0480,23,Salad,43,2025-03-26,Supermarket,New Jessica,Vegan,Dinner
1,Gonzales-Cochran,Supermarket,"74347 Christopher Extensions
Andreamouth, OK 91839",New Jessica,+1-600-220-0480,36,Rice,35,2025-03-20,Supermarket,New Jessica,Vegan,Breakfast
2,"Nielsen, Johnson and Fuller",Grocery Store,"91228 Hanson Stream
Welchtown, OR 27136",East Sheena,+1-925-283-8901x6297,346,Chicken,16,2025-03-28,Grocery Store,East Sheena,Vegan,Snacks
2,"Nielsen, Johnson and Fuller",Grocery Store,"91228 Hanson Stream
Welchtown, OR 27136",East Sheena,+1-925-283-8901x6297,905,Bread,37,2025-03-25,Grocery Store,East Sheena,Vegan,Dinner
4,"Clark, Prince and Williams",Grocery Store,"467 Bell Trail Suite 409
Port Jesus, IA 61188",Mendezmouth,556.944.8935x401,154,Pasta,46,2025-03-30,Grocery Store,Mendezmouth,Vegan,Breakfast
4,"Clark, Prince and Williams",Grocery Store,"467 Bell Trail Suite 409
Port Jesus, IA 61188",Mendezmouth,556.944.8935x401,323,Dairy,31,2025-03-27,Grocery Store,Mendezmouth,Vegan,Snacks
4,"Clark, Prince and Williams",Grocery Store,"467 Bell Trail Suite 409
Port Jesus, IA 61188",Mendezmouth,556.944.8935x401,425,Chicken,19,2025-03-24,Grocery Store,Mendezmouth,Non-Vegetarian,Breakfast
5,Coleman-Farley,Grocery Store,"078 Matthew Creek Apt. 319
Saraborough, MA 53978",Valentineside,193.714.6577,899,Pasta,44,2025-03-29,Grocery Store,Valentineside,Vegetarian,Snacks
5,Coleman-Farley,Grocery Store,"078 Matthew Creek Apt. 319
Saraborough, MA 53978",Valentineside,193.714.6577,975,Fish,48,2025-03-19,Grocery Store,Valentineside,Non-Vegetarian,Lunch
7,Ortiz-Lee,Restaurant,"1842 Villarreal Shores
Williamfort, CT 44529",Lake Christopherburgh,(563)889-7190,180,Salad,35,2025-03-28,Restaurant,Lake Christopherburgh,Vegan,Dinner
7,Ortiz-Lee,Restaurant,"1842 Villarreal Shores
Williamfort, CT 44529",Lake Christopherburgh,(563)889-7190,519,Pasta,43,2025-03-26,Restaurant,Lake Christopherburgh,Non-Vegetarian,Lunch
7,Ortiz-Lee,Restaurant,"1842 Villarreal Shores
Williamfort, CT 44529",Lake Christopherburgh,(563)889-7190,982,Soup,36,2025-03-19,Restaurant,Lake Christopherburgh,Vegetarian,Breakfast
9,Nguyen Inc,Supermarket,"169 Scott Keys Suite 000
East Michelle, HI 57025",Tinamouth,898-609-2609x844,764,Vegetables,21,2025-03-19,Supermarket,Tinamouth,Vegetarian,Breakfast
10,"Hall, Nguyen and Martinez",Catering Service,"71458 Mark Field Apt. 252
North Alexland, TX 02693",West Cherylfort,(740)949-2480x40566,957,Fish,39,2025-03-22,Catering Service,West Cherylfort,Vegan,Lunch
11,"Flores, Jackson and Ford",Supermarket,"0663 Paul Field
South Haileyshire, AL 19652",South Robert,276.527.4329,501,Chicken,27,2025-03-24,Supermarket,South Robert,Vegetarian,Lunch
14,Nguyen-Tran,Catering Service,"65833 Anthony Ridges
Williamsmouth, IA 42157",Garciamouth,+1-899-619-4557x62932,986,Rice,23,2025-03-24,Catering Service,Garciamouth,Vegan,Snacks
16,Brown and Sons,Catering Service,"1745 Chan Ridges
Ginaville, OK 07163",West Vanessafort,018-471-0550x16593,804,Fruits,47,2025-03-27,Catering Service,West Vanessafort,Vegan,Breakfast
17,Miller Ltd,Catering Service,"355 Rogers Ferry Suite 116
East Stevenburgh, MD 93961",West Dawn,(876)537-9861x93433,608,Vegetables,27,2025-03-28,Catering Service,West Dawn,Non-Vegetarian,Dinner
17,Miller Ltd,Catering Service,"355 Rogers Ferry Suite 116
East Stevenburgh, MD 93961",West Dawn,(876)537-9861x93433,878,Rice,23,2025-03-29,Catering Service,West Dawn,Non-Vegetarian,Snacks
20,Drake-Martinez,Catering Service,"22920 Carpenter Turnpike Apt. 652
New Steven, AR 33177",East Samantha,001-454-212-3510x6135,589,Rice,49,2025-03-20,Catering Service,East Samantha,Vegetarian,Dinner
22,Miller-Carter,Catering Service,"44329 Hendrix Land
Port Christine, AL 43242",Port Lisamouth,+1-868-016-4774,205,Dairy,13,2025-03-20,Catering Service,Port Lisamouth,Vegan,Breakfast
22,Miller-Carter,Catering Service,"44329 Hendrix Land
Port Christine, AL 43242",Port Lisamouth,+1-868-016-4774,360,Chicken,12,2025-03-18,Catering Service,Port Lisamouth,Vegan,Dinner
24,"Black, Collins and Richard",Supermarket,"643 Galvan Burgs
Fletcherhaven, AZ 86988",Hestermouth,266.040.9664x08185,214,Soup,9,2025-03-28,Supermarket,Hestermouth,Vegan,Breakfast
26,Hansen Inc,Grocery Store,"9402 Corey Avenue
Jamesland, AL 54220",West Adammouth,464-311-2342,233,Fish,19,2025-03-26,Grocery Store,West Adammouth,Non-Vegetarian,Snacks
29,Andrews-Wiley,Grocery Store,"37741 Edward Green Apt. 840
Whiteport, WY 68558",Patrickmouth,+1-657-214-6013x08444,43,Pasta,44,2025-03-22,Grocery Store,Patrickmouth,Vegan,Lunch
31,Thompson-Kerr,Grocery Store,"123 Barber Divide
New Stephanie, KY 35738",South Kellyberg,(786)641-7043,194,Chicken,39,2025-03-26,Grocery Store,South Kellyberg,Non-Vegetarian,Lunch
31,Thompson-Kerr,Grocery Store,"123 Barber Divide
New Stephanie, KY 35738",South Kellyberg,(786)641-7043,540,Soup,33,2025-03-22,Grocery Store,South Kellyberg,Non-Vegetarian,Snacks
33,"Miranda, Wilcox and Short",Restaurant,"208 Williams Fields Suite 324
New Robert, MN 13700",Janetborough,711.136.4426,781,Bread,45,2025-03-23,Restaurant,Janetborough,Vegan,Snacks
34,"Cooper, Smith and King",Grocery Store,"439 Barnes Courts Apt. 349
South Gregory, MO 73315",North Garybury,+1-812-193-0704x61726,87,Salad,37,2025-03-28,Grocery Store,North Garybury,Vegan,Breakfast
34,"Cooper, Smith and King",Grocery Store,"439 Barnes Courts Apt. 349
South Gregory, MO 73315",North Garybury,+1-812-193-0704x61726,788,Fish,26,2025-03-30,Grocery Store,North Garybury,Vegan,Dinner
